logKd,PH,Salinity,Temperature,Water Type
2.51,7.0,0.0,25.0,DI
2.56,7.0,0.0,25.0,DI
2.67,7.0,0.0,25.0,DI
2.73,7.0,0.0,25.0,DI
2.32,7.0,0.0,25.0,DI
2.59,7.0,0.0,25.0,DI
2.64,7.0,0.0,25.0,DI
2.51,7.0,0.0,25.0,DI
1.46,7.0,0.0,25.0,DI
1.49,7.0,0.0,25.0,DI
1.49,7.0,0.0,25.0,DI
1.59,7.0,0.0,25.0,DI
1.44,7.0,0.0,25.0,DI
2.77,7.0,0.03,25.0,DI
2.95,7.0,0.03,25.0,DI
3.38,7.0,0.03,25.0,DI
3.91,7.0,0.03,25.0,DI
0.85,8.1,0.7,25.0,SS
1.18,6.9,0.03,25.0,SF
3.31,2.0,0.03,25.0,SF
1.12,10.0,0.03,25.0,SF
0.82,8.1,0.7,25.0,SS
1.49,6.9,0.03,25.0,SF
3.44,2.0,0.03,25.0,SF
1.07,10.0,0.03,25.0,SF
0.18,8.1,0.7,25.0,SS
0.63,6.9,0.03,25.0,SF
2.5,2.0,0.03,25.0,SF
0.51,10.0,0.03,25.0,SF
0.92,8.1,0.7,25.0,SS
1.1,6.9,0.03,25.0,SF
3.25,2.0,0.03,25.0,SF
1.07,10.0,0.03,25.0,SF
0.38,8.1,0.7,25.0,SS
1.4,6.9,0.03,25.0,SF
3.45,2.0,0.03,25.0,SF
1.04,10.0,0.03,25.0,SF
-0.24,8.1,0.7,25.0,SS
0.61,6.9,0.03,25.0,SF
2.42,2.0,0.03,25.0,SF
0.09,10.0,0.03,25.0,SF
0.76,8.1,0.7,25.0,SS
0.91,6.9,0.03,25.0,SF
3.16,2.0,0.03,25.0,SF
0.94,10.0,0.03,25.0,SF
0.42,8.1,0.7,25.0,SS
1.47,6.9,0.03,25.0,SF
3.42,2.0,0.03,25.0,SF
1.1,10.0,0.03,25.0,SF
0.23,8.1,0.7,25.0,SS
0.4,6.9,0.03,25.0,SF
2.72,2.0,0.03,25.0,SF
0.87,10.0,0.03,25.0,SF
0.18,8.1,0.7,25.0,SS
0.35,6.9,0.03,25.0,SF
2.74,2.0,0.03,25.0,SF
0.61,10.0,0.03,25.0,SF
0.16,8.1,0.7,25.0,SS
1.04,6.9,0.03,25.0,SF
3.19,2.0,0.03,25.0,SF
0.4,10.0,0.03,25.0,SF
-0.2,8.1,0.7,25.0,SS
0.23,6.9,0.03,25.0,SF
2.13,2.0,0.03,25.0,SF
0.16,10.0,0.03,25.0,SF
3.1,7.0,0.03,25.0,DI
2.36,7.0,0.03,25.0,DI
2.32,7.0,0.03,25.0,DI
3.94,7.0,0.002,23.0,SF
4.09,8.1,0.7,23.0,SS
2.39,7.0,0.002,23.0,SF
2.53,8.1,0.7,23.0,SS
3.87,7.0,0.002,23.0,SF
4.02,8.1,0.7,23.0,SS
-0.04,7.3,0.014,22.0,DI
0.29,7.3,0.014,22.0,DI
0.45,7.3,0.014,22.0,DI
0.77,7.3,0.014,22.0,DI
1.38,7.3,0.014,22.0,DI
1.87,7.3,0.014,22.0,DI
2.25,7.3,0.014,22.0,DI
2.29,7.3,0.014,22.0,DI
2.11,7.3,0.014,22.0,DI
0.57,7.3,0.014,22.0,DI
0.78,7.3,0.014,22.0,DI
0.87,7.3,0.014,22.0,DI
1.15,7.3,0.014,22.0,DI
1.51,7.3,0.014,22.0,DI
1.9,7.3,0.014,22.0,DI
2.23,7.3,0.014,22.0,DI
2.24,7.3,0.014,22.0,DI
2.12,7.3,0.014,22.0,DI
1.03,7.3,0.014,22.0,DI
1.39,7.3,0.014,22.0,DI
1.62,7.3,0.014,22.0,DI
1.57,7.3,0.014,22.0,DI
1.28,7.3,0.014,22.0,DI
0.7,7.3,0.014,22.0,DI
1.16,7.3,0.014,22.0,DI
1.42,7.3,0.014,22.0,DI
1.34,7.3,0.014,22.0,DI
1.04,7.3,0.014,22.0,DI
4.1,7.0,0.0001,25.0,DI
3.8,7.0,0.0001,25.0,DI
4.09,7.0,0.0001,25.0,DI
3.94,7.0,0.0001,25.0,DI
3.82,7.0,0.0001,25.0,DI
3.99,7.0,0.0001,25.0,DI
3.82,7.0,0.0001,25.0,DI
4.02,7.0,0.0001,25.0,DI
3.68,7.0,0.0001,25.0,DI
