logKd,LogKow,E,S,A,B,V
0.66,2.71,0.73,1.39,0.0,0.89,1.7106
4.02,4.67,0.7,1.27,0.0,0.95,2.2742
3.64,4.52,0.68,1.21,0.0,0.95,2.2742
0.83,3.64,1.61,1.56,0.99,0.91,1.8643
2.83,3.17,1.34,0.92,0.0,0.2,1.0854
3.28,4.35,2.06,1.29,0.0,0.29,1.4544
0.25,2.67,1.28,1.6,0.57,0.7,1.5992
0.93,2.69,1.52,1.05,0.61,0.37,1.1441
2.15,2.99,1.6,1.59,0.0,0.29,1.2596
3.22,3.81,1.42,1.0,0.0,0.14,1.2078
3.03,3.72,1.34,0.94,0.0,0.22,1.2263
1.63,3.97,0.83,0.95,0.53,0.41,1.4796
1.45,3.15,0.86,0.76,0.51,0.43,1.1978
3.35,3.52,0.6,0.5,0.0,0.15,1.1391
2.73,2.88,0.88,0.73,0.0,0.09,0.8914
3.29,3.76,1.36,0.99,0.0,0.26,1.3242
3.22,3.09,0.62,0.52,0.0,0.16,0.9982
2.23,2.71,0.73,1.39,0.0,0.89,1.7106
3.88,4.67,0.7,1.27,0.0,0.95,2.2742
3.64,4.52,0.68,1.21,0.0,0.95,2.2742
3.17,3.64,1.61,1.56,0.99,0.91,1.8643
3.11,3.17,1.34,0.92,0.0,0.2,1.0854
4.45,4.35,2.06,1.29,0.0,0.29,1.4544
2.15,2.82,1.22,1.29,0.17,1.01,1.6196
2.3,2.67,1.28,1.6,0.57,0.7,1.5992
2.88,2.69,1.52,1.05,0.61,0.37,1.1441
3.28,2.99,1.6,1.59,0.0,0.29,1.2596
3.78,3.81,1.42,1.0,0.0,0.14,1.2078
3.52,3.72,1.34,0.94,0.0,0.22,1.2263
3.35,3.97,0.83,0.95,0.53,0.41,1.4796
2.4,3.15,0.86,0.76,0.51,0.43,1.1978
2.98,3.52,0.6,0.5,0.0,0.15,1.1391
2.62,2.88,0.88,0.73,0.0,0.09,0.8914
3.78,3.76,1.36,0.99,0.0,0.26,1.3242
2.8,3.09,0.62,0.52,0.0,0.16,0.9982
2.16,2.71,0.73,1.39,0.0,0.89,1.7106
3.93,4.67,0.7,1.27,0.0,0.95,2.2742
3.91,4.52,0.68,1.21,0.0,0.95,2.2742
2.37,3.64,1.61,1.56,0.99,0.91,1.8643
3.29,3.17,1.34,0.92,0.0,0.2,1.0854
4.68,4.35,2.06,1.29,0.0,0.29,1.4544
2.3,2.82,1.22,1.29,0.17,1.01,1.6196
2.29,2.67,1.28,1.6,0.57,0.7,1.5992
3.0,2.69,1.52,1.05,0.61,0.37,1.1441
3.42,2.99,1.6,1.59,0.0,0.29,1.2596
3.95,3.81,1.42,1.0,0.0,0.14,1.2078
3.7,3.72,1.34,0.94,0.0,0.22,1.2263
3.52,3.97,0.83,0.95,0.53,0.41,1.4796
2.49,3.15,0.86,0.76,0.51,0.43,1.1978
3.16,3.52,0.6,0.5,0.0,0.15,1.1391
2.94,2.88,0.88,0.73,0.0,0.09,0.8914
4.04,3.76,1.36,0.99,0.0,0.26,1.3242
2.97,3.09,0.62,0.52,0.0,0.16,0.9982
2.81,5.8,1.35,0.96,1.15,0.23,2.2574
2.82,5.8,1.35,0.96,1.15,0.23,2.2574
2.68,5.8,1.35,0.96,1.15,0.23,2.2574
3.04,4.66,1.73,1.55,0.47,0.45,1.8088
1.82,0.0,2.2,2.34,0.7,2.52,2.3047
1.13,-0.18,3.5,3.6,1.35,3.29,3.0992
1.77,-0.18,3.5,3.6,1.35,3.29,3.0992
3.86,4.93,2.81,1.71,0.0,0.28,1.5846
3.38,4.93,2.81,1.71,0.0,0.28,1.5846
3.37,4.93,2.81,1.71,0.0,0.28,1.5846
2.93,4.66,1.73,1.55,0.47,0.45,1.8088
2.44,4.66,1.73,1.55,0.47,0.45,1.8088
3.51,4.35,2.06,1.29,0.0,0.29,1.4544
3.88,4.35,2.06,1.29,0.0,0.29,1.4544
3.06,6.79,1.81,1.76,0.0,0.16,2.218
4.86,6.79,1.81,1.76,0.0,0.16,2.218
4.69,4.35,2.06,1.29,0.0,0.29,1.4544
4.28,4.35,2.06,1.29,0.0,0.29,1.4544
4.93,6.79,1.81,1.76,0.0,0.16,2.218
4.96,6.79,1.81,1.76,0.0,0.16,2.218
4.23,3.17,1.34,0.92,0.0,0.2,1.0854
4.42,3.17,1.34,0.92,0.0,0.2,1.0854
4.34,3.17,1.34,0.92,0.0,0.2,1.0854
3.26,4.93,2.81,1.71,0.0,0.28,1.5846
3.24,4.93,2.81,1.71,0.0,0.28,1.5846
3.2,4.93,2.81,1.71,0.0,0.28,1.5846
3.18,4.93,2.81,1.71,0.0,0.28,1.5846
3.18,4.93,2.81,1.71,0.0,0.28,1.5846
2.34,4.93,2.81,1.71,0.0,0.28,1.5846
2.3,4.93,2.81,1.71,0.0,0.28,1.5846
2.28,4.93,2.81,1.71,0.0,0.28,1.5846
