logKd,MPs types,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
5.9,PE,Pristine,DI,0.95,,25.0,6.34,1.91,1.46,0.0,0.13,1.8138,6.0,0.0,21.0
6.2,PE,Pristine,DI,0.95,,25.0,6.98,2.03,1.59,0.0,0.12,1.9949,6.0,0.0,21.0
6.1,PE,Pristine,DI,0.95,,25.0,6.98,2.04,1.61,0.0,0.13,1.9362,6.0,0.0,21.0
6.4,PE,Pristine,DI,0.95,,25.0,7.21,2.06,1.59,0.0,0.11,1.9362,6.0,0.0,21.0
6.3,PE,Pristine,DI,0.95,,25.0,6.98,2.04,1.59,0.0,0.11,1.9362,6.0,0.0,21.0
6.4,PE,Pristine,DI,0.95,,25.0,7.62,2.18,1.74,0.0,0.11,2.0586,6.0,0.0,21.0
6.6,PE,Pristine,DI,0.95,,25.0,7.62,2.18,1.74,0.0,0.11,2.0586,6.0,0.0,21.0
6.6,PE,Pristine,DI,0.95,,25.0,7.62,2.19,1.74,0.0,0.11,2.0586,6.0,0.0,21.0
6.9,PE,Pristine,DI,0.95,,25.0,8.27,2.33,1.87,0.0,0.09,2.181,6.0,0.0,21.0
5.0,PE,Pristine,DI,0.95,,25.0,4.89,2.29,1.3,0.0,0.31,1.5953,6.0,0.0,21.0
4.7,PE,Pristine,DI,0.95,,25.0,4.89,2.06,1.25,0.0,0.29,1.5953,6.0,0.0,21.0
5.3,PE,Pristine,DI,0.95,,25.0,5.47,2.25,1.25,0.0,0.28,1.7362,6.0,0.0,21.0
5.2,PE,Pristine,DI,0.95,,25.0,5.47,2.05,1.29,0.0,0.29,1.7362,6.0,0.0,21.0
4.3,PE,Pristine,DI,0.95,,25.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,21.0
4.3,PE,Pristine,DI,0.95,,25.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,21.0
5.083,PE,Pristine,DI,0.95,,25.0,6.34,1.88,1.48,0.0,0.15,1.8138,6.0,0.0,25.0
5.301,PE,Pristine,DI,0.95,,25.0,5.69,1.77,1.33,0.0,0.15,1.6914,6.0,0.0,25.0
4.98,PP,Pristine,Seawater,0.9,,3000.0,5.05,1.62,1.2,0.0,0.18,1.569,8.1,0.5,12.0
5.09,PP,Pristine,Seawater,0.9,,3000.0,5.69,1.76,1.33,0.0,0.15,1.6914,8.1,0.5,12.0
5.09,PP,Pristine,Seawater,0.9,,3000.0,6.34,1.9,1.48,0.0,0.15,1.8138,8.1,0.5,12.0
5.14,PP,Pristine,Seawater,0.9,,3000.0,6.34,1.9,1.48,0.0,0.15,1.8138,8.1,0.5,12.0
5.63,PP,Pristine,Seawater,0.9,,3000.0,6.57,1.94,1.44,0.0,0.11,1.8138,8.1,0.5,12.0
5.26,PP,Pristine,Seawater,0.9,,3000.0,6.34,1.91,1.46,0.0,0.13,1.8138,8.1,0.5,12.0
5.71,PP,Pristine,Seawater,0.9,,3000.0,7.21,2.06,1.59,0.0,0.11,1.9362,8.1,0.5,12.0
5.77,PP,Pristine,Seawater,0.9,,3000.0,6.98,2.04,1.59,0.0,0.11,1.9362,8.1,0.5,12.0
5.51,PP,Pristine,Seawater,0.9,,3000.0,6.98,2.04,1.61,0.0,0.13,1.9362,8.1,0.5,12.0
5.26,PP,Pristine,Seawater,0.9,,3000.0,6.98,2.02,1.61,0.0,0.13,1.9362,8.1,0.5,12.0
5.63,PP,Pristine,Seawater,0.9,,3000.0,6.98,2.04,1.61,0.0,0.13,1.9362,8.1,0.5,12.0
5.51,PP,Pristine,Seawater,0.9,,3000.0,6.98,2.03,1.59,0.0,0.12,1.9949,8.1,0.5,12.0
6.19,PP,Pristine,Seawater,0.9,,3000.0,7.62,2.16,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
6.06,PP,Pristine,Seawater,0.9,,3000.0,7.62,2.19,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
6.19,PP,Pristine,Seawater,0.9,,3000.0,7.62,2.18,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
5.77,PP,Pristine,Seawater,0.9,,3000.0,7.62,2.18,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
4.5,PE,Pristine,DI,0.94,,125.0,3.56,2.47,1.73,0.0,0.53,1.6286,6.0,0.0,25.0
4.21,PP,Pristine,DI,0.91,,125.0,3.56,2.47,1.73,0.0,0.53,1.6286,6.0,0.0,25.0
4.42,PS,Pristine,DI,1.05,,125.0,3.56,2.47,1.73,0.0,0.53,1.6286,6.0,0.0,25.0
2.75,PE,Pristine,Freshwater,0.95,0.2341,150.0,0.48,1.89,2.23,0.58,1.29,1.7244,6.0,0.03,25.0
2.45,PE,Pristine,DI,0.95,,150.0,5.8,1.35,0.96,1.15,0.23,2.2574,7.0,0.0,25.0
1.95,PS,Pristine,DI,1.05,,250.0,5.8,1.35,0.96,1.15,0.23,2.2574,7.0,0.0,25.0
2.21,PVC,Pristine,DI,1.4,,230.0,5.8,1.35,0.96,1.15,0.23,2.2574,7.0,0.0,25.0
0.08,PE,Pristine,DI,0.95,12.1,5000.0,1.55,2.0,1.45,0.45,1.0,1.3613,5.85,0.0,25.0
2.78,PE,Pristine,DI,0.95,12.1,5000.0,3.59,1.87,1.17,0.18,0.97,1.995,5.85,0.0,25.0
0.9,PE,Pristine,DI,0.95,12.1,5000.0,2.29,0.69,1.84,0.0,1.18,2.3154,5.85,0.0,25.0
1.27,PE,Aged,DI,0.95,13.6,5000.0,1.55,2.0,1.45,0.45,1.0,1.3613,5.85,0.0,25.0
3.0,PE,Aged,DI,0.95,13.6,5000.0,3.59,1.87,1.17,0.18,0.97,1.995,5.85,0.0,25.0
1.77,PE,Aged,DI,0.95,13.6,5000.0,2.29,0.69,1.84,0.0,1.18,2.3154,5.85,0.0,25.0
-0.94,PS,Pristine,DI,1.05,0.93,100.0,2.95,1.6,1.58,0.26,1.28,2.1882,7.0,0.0,25.0
-0.14,PS,Pristine,DI,1.05,0.93,100.0,3.66,1.83,1.8,0.34,1.11,2.2519,7.0,0.0,25.0
4.37,PE,Pristine,SF,0.95,2.088,154.35,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.37,PE,Pristine,F,0.95,2.088,154.35,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.34,PE,Pristine,SF,0.95,2.088,154.35,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
3.9,PE,Pristine,F,0.95,2.088,154.35,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
3.74,PE,Pristine,SF,0.95,2.088,154.35,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.06,PE,Pristine,F,0.95,2.088,154.35,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.46,PE,Pristine,SF,0.95,2.088,154.35,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.6,PE,Pristine,F,0.95,2.088,154.35,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.26,PE,Pristine,SF,0.95,2.088,154.35,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.66,PE,Pristine,F,0.95,2.088,154.35,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.36,PE,Pristine,SF,0.95,2.088,154.35,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
4.43,PE,Pristine,F,0.95,2.088,154.35,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
3.92,PE,Pristine,SF,0.95,0.66,132.5,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.24,PE,Pristine,F,0.95,0.66,132.5,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
3.74,PE,Pristine,SF,0.95,0.66,132.5,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
3.94,PE,Pristine,F,0.95,0.66,132.5,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
4.31,PE,Pristine,SF,0.95,0.66,132.5,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.44,PE,Pristine,F,0.95,0.66,132.5,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.36,PE,Pristine,SF,0.95,0.66,132.5,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.65,PE,Pristine,F,0.95,0.66,132.5,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.38,PE,Pristine,SF,0.95,0.66,132.5,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.65,PE,Pristine,F,0.95,0.66,132.5,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.25,PE,Pristine,SF,0.95,0.66,132.5,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
4.78,PE,Pristine,F,0.95,0.66,132.5,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
3.9,PE,Pristine,SF,0.95,5.791,301.0,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.21,PE,Pristine,F,0.95,5.791,301.0,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
3.74,PE,Pristine,SF,0.95,5.791,301.0,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
4.08,PE,Pristine,F,0.95,5.791,301.0,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
4.21,PE,Pristine,SF,0.95,5.791,301.0,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.45,PE,Pristine,F,0.95,5.791,301.0,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
