logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
4.75,Pristine,Seawater,0.95,,250.0,4.35,2.29,1.34,0.0,0.28,1.4544,8.1,0.7,25.0
4.24,Pristine,Seawater,0.9,,250.0,4.35,2.29,1.34,0.0,0.28,1.4544,8.1,0.7,25.0
5.63,Pristine,Seawater,1.05,,250.0,4.35,2.29,1.34,0.0,0.28,1.4544,8.1,0.7,25.0
5.55,Pristine,Seawater,0.95,,250.0,4.93,2.81,1.71,0.0,0.28,1.5846,8.1,0.7,25.0
4.75,Pristine,Seawater,0.9,,250.0,4.93,2.81,1.71,0.0,0.28,1.5846,8.1,0.7,25.0
5.86,Pristine,Seawater,1.05,,250.0,4.93,2.81,1.71,0.0,0.28,1.5846,8.1,0.7,25.0
6.37,Pristine,Seawater,0.95,,250.0,5.52,3.03,1.73,0.0,0.33,1.8234,8.1,0.7,25.0
5.46,Pristine,Seawater,0.9,,250.0,5.52,3.03,1.73,0.0,0.33,1.8234,8.1,0.7,25.0
6.65,Pristine,Seawater,1.05,,250.0,5.52,3.03,1.73,0.0,0.33,1.8234,8.1,0.7,25.0
7.15,Pristine,Seawater,0.95,,250.0,7.22,3.63,1.98,0.0,0.44,1.9536,8.1,0.7,25.0
6.05,Pristine,Seawater,0.9,,250.0,7.22,3.63,1.98,0.0,0.44,1.9536,8.1,0.7,25.0
6.94,Pristine,Seawater,1.05,,250.0,7.22,3.63,1.98,0.0,0.44,1.9536,8.1,0.7,25.0
7.85,Pristine,Seawater,0.95,,250.0,6.22,4.0,2.04,0.0,0.44,2.1924,8.1,0.7,25.0
6.95,Pristine,Seawater,0.9,,250.0,6.22,4.0,2.04,0.0,0.44,2.1924,8.1,0.7,25.0
7.54,Pristine,Seawater,1.05,,250.0,6.22,4.0,2.04,0.0,0.44,2.1924,8.1,0.7,25.0
7.59,Pristine,Seawater,0.95,,250.0,6.7,4.07,1.9,0.0,0.45,2.0838,8.1,0.7,25.0
6.64,Pristine,Seawater,0.9,,250.0,6.7,4.07,1.9,0.0,0.45,2.0838,8.1,0.7,25.0
7.17,Pristine,Seawater,1.05,,250.0,6.7,4.07,1.9,0.0,0.45,2.0838,8.1,0.7,25.0
2.39,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.73,0.0,0.71,1.5798,8.1,0.7,25.0
2.64,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.73,0.0,0.71,1.5798,8.1,0.7,25.0
3.21,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.73,0.0,0.71,1.5798,8.1,0.7,25.0
2.02,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.88,0.0,0.69,1.5798,8.1,0.7,25.0
2.13,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.88,0.0,0.69,1.5798,8.1,0.7,25.0
2.65,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.88,0.0,0.69,1.5798,8.1,0.7,25.0
2.31,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.91,0.0,0.68,1.5798,8.1,0.7,25.0
2.53,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.91,0.0,0.68,1.5798,8.1,0.7,25.0
3.3,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.91,0.0,0.68,1.5798,8.1,0.7,25.0
2.06,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.94,0.0,0.63,1.5798,8.1,0.7,25.0
2.18,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.94,0.0,0.63,1.5798,8.1,0.7,25.0
2.82,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.94,0.0,0.63,1.5798,8.1,0.7,25.0
4.61,Pristine,Seawater,0.96,,250.0,4.99,1.33,0.92,0.06,0.0,1.3284,8.1,0.7,25.0
4.45,Pristine,Seawater,0.92,,250.0,4.99,1.33,0.92,0.06,0.0,1.3284,8.1,0.7,25.0
5.12,Pristine,Seawater,1.09,,250.0,4.99,1.33,0.92,0.06,0.0,1.3284,8.1,0.7,25.0
5.2,Pristine,Seawater,0.95,,250.0,5.86,1.49,0.99,0.0,0.0,1.4508,8.1,0.7,25.0
4.96,Pristine,Seawater,0.9,,250.0,5.86,1.49,0.99,0.0,0.0,1.4508,8.1,0.7,25.0
5.3,Pristine,Seawater,1.05,,250.0,5.86,1.49,0.99,0.0,0.0,1.4508,8.1,0.7,25.0
4.56,Pristine,Seawater,0.95,4.37,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.29,Pristine,Seawater,0.9,1.56,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.36,Pristine,Seawater,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.37,Pristine,Seawater,1.4,1.76,127.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
4.9,Pristine,DI,0.95,,25.0,5.69,1.75,1.35,0.0,0.17,1.6914,6.0,0.0,21.0
5.4,Pristine,DI,0.95,,25.0,5.69,1.76,1.33,0.0,0.15,1.6914,6.0,0.0,21.0
5.5,Pristine,DI,0.95,,25.0,6.34,1.9,1.48,0.0,0.15,1.8138,6.0,0.0,21.0
5.9,Pristine,DI,0.95,,25.0,6.34,1.91,1.46,0.0,0.13,1.8138,6.0,0.0,21.0
6.2,Pristine,DI,0.95,,25.0,6.98,2.03,1.59,0.0,0.12,1.9949,6.0,0.0,21.0
6.1,Pristine,DI,0.95,,25.0,6.98,2.04,1.61,0.0,0.13,1.9362,6.0,0.0,21.0
6.4,Pristine,DI,0.95,,25.0,7.21,2.06,1.59,0.0,0.11,1.9362,6.0,0.0,21.0
6.3,Pristine,DI,0.95,,25.0,6.98,2.04,1.59,0.0,0.11,1.9362,6.0,0.0,21.0
6.4,Pristine,DI,0.95,,25.0,7.62,2.18,1.74,0.0,0.11,2.0586,6.0,0.0,21.0
6.6,Pristine,DI,0.95,,25.0,7.62,2.18,1.74,0.0,0.11,2.0586,6.0,0.0,21.0
6.6,Pristine,DI,0.95,,25.0,7.62,2.19,1.74,0.0,0.11,2.0586,6.0,0.0,21.0
6.9,Pristine,DI,0.95,,25.0,8.27,2.33,1.87,0.0,0.09,2.181,6.0,0.0,21.0
5.0,Pristine,DI,0.95,,25.0,4.89,2.29,1.3,0.0,0.31,1.5953,6.0,0.0,21.0
4.7,Pristine,DI,0.95,,25.0,4.89,2.06,1.25,0.0,0.29,1.5953,6.0,0.0,21.0
5.3,Pristine,DI,0.95,,25.0,5.47,2.25,1.25,0.0,0.28,1.7362,6.0,0.0,21.0
5.2,Pristine,DI,0.95,,25.0,5.47,2.05,1.29,0.0,0.29,1.7362,6.0,0.0,21.0
4.3,Pristine,DI,0.95,,25.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,21.0
4.3,Pristine,DI,0.95,,25.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,21.0
