logKd,MPs types,Ageing_Status,Plastic Density,SSA,Particle Size
3.64,PS,Pristine,1.05,,150.0
0.83,PS,Pristine,1.05,,150.0
2.83,PS,Pristine,1.05,,150.0
3.28,PS,Pristine,1.05,,150.0
0.25,PS,Pristine,1.05,,150.0
0.93,PS,Pristine,1.05,,150.0
2.15,PS,Pristine,1.05,,150.0
3.22,PS,Pristine,1.05,,150.0
3.03,PS,Pristine,1.05,,150.0
1.63,PS,Pristine,1.05,,150.0
1.45,PS,Pristine,1.05,,150.0
3.35,PS,Pristine,1.05,,150.0
2.73,PS,Pristine,1.05,,150.0
3.29,PS,Pristine,1.05,,150.0
3.22,PS,Pristine,1.05,,150.0
2.23,PBS,Pristine,1.26,,150.0
3.88,PBS,Pristine,1.26,,150.0
3.64,PBS,Pristine,1.26,,150.0
3.17,PBS,Pristine,1.26,,150.0
3.11,PBS,Pristine,1.26,,150.0
4.45,PBS,Pristine,1.26,,150.0
2.15,PBS,Pristine,1.26,,150.0
2.3,PBS,Pristine,1.26,,150.0
2.88,PBS,Pristine,1.26,,150.0
3.28,PBS,Pristine,1.26,,150.0
3.78,PBS,Pristine,1.26,,150.0
3.52,PBS,Pristine,1.26,,150.0
3.35,PBS,Pristine,1.26,,150.0
2.4,PBS,Pristine,1.26,,150.0
2.98,PBS,Pristine,1.26,,150.0
2.62,PBS,Pristine,1.26,,150.0
3.78,PBS,Pristine,1.26,,150.0
2.8,PBS,Pristine,1.26,,
2.16,PCL,Pristine,1.15,,150.0
3.93,PCL,Pristine,1.15,,150.0
3.91,PCL,Pristine,1.15,,150.0
2.37,PCL,Pristine,1.15,,150.0
3.29,PCL,Pristine,1.15,,150.0
4.68,PCL,Pristine,1.15,,150.0
2.3,PCL,Pristine,1.15,,150.0
2.29,PCL,Pristine,1.15,,150.0
3.0,PCL,Pristine,1.15,,150.0
3.42,PCL,Pristine,1.15,,150.0
3.95,PCL,Pristine,1.15,,150.0
3.7,PCL,Pristine,1.15,,150.0
3.52,PCL,Pristine,1.15,,150.0
2.49,PCL,Pristine,1.15,,150.0
3.16,PCL,Pristine,1.15,,150.0
2.94,PCL,Pristine,1.15,,150.0
4.04,PCL,Pristine,1.15,,150.0
2.97,PCL,Pristine,1.15,,150.0
2.81,PS,Pristine,1.05,,9.5
2.82,PS,Pristine,1.05,,9.5
2.68,PS,Pristine,1.05,,9.5
3.04,PP,Aged,0.91,,180.0
1.82,PE,Pristine,0.95,,100.0
1.13,PE,Pristine,0.95,0.2354,105.0
1.77,PE,Pristine,0.95,0.2354,105.0
3.86,PE,Pristine,0.95,6.91,125.0
3.38,PS,Pristine,1.05,2.35,125.0
3.37,PVC,Pristine,1.4,1.87,125.0
2.93,PE,Pristine,0.95,1.19,225.0
2.44,PS,Pristine,1.05,0.73,313.0
3.51,PVC,Pristine,1.4,,225.0
3.88,PVC,Pristine,1.4,,225.0
3.06,PVC,Pristine,1.4,,225.0
4.86,PVC,Pristine,1.4,,225.0
4.69,PE,Pristine,1.4,,225.0
4.28,PE,Pristine,1.4,,225.0
4.93,PE,Pristine,1.4,,225.0
4.96,PE,Pristine,1.4,,225.0
4.23,PS,Pristine,1.05,,0.1219
4.42,PS,Pristine,1.05,,0.1219
4.34,PS,Pristine,1.05,,0.1219
3.26,PE,Pristine,0.95,6.91,125.0
3.24,PE,Pristine,0.95,6.91,125.0
3.2,PE,Pristine,0.95,6.91,125.0
3.18,PE,Pristine,0.95,6.91,125.0
3.18,PE,Pristine,0.95,6.91,125.0
2.34,PS,Pristine,1.05,2.35,125.0
2.3,PS,Pristine,1.05,2.35,125.0
2.28,PS,Pristine,1.05,2.35,125.0
2.25,PS,Pristine,1.05,2.35,125.0
2.25,PS,Pristine,1.05,2.35,125.0
2.32,PVC,Pristine,1.4,1.87,125.0
2.26,PVC,Pristine,1.4,1.87,125.0
2.23,PVC,Pristine,1.4,1.87,125.0
2.19,PVC,Pristine,1.4,1.87,125.0
2.19,PVC,Pristine,1.4,1.87,125.0
1.5,PS,Pristine,1.05,0.32,50.4
2.87,PVC,Pristine,1.4,,140.0
2.33,PS,Pristine,1.05,3.09,100.0
2.33,PS,Pristine,1.05,3.83,100.0
2.08,PE,Pristine,0.95,3.09,100.0
2.09,PE,Pristine,0.95,3.83,100.0
1.05,PS,Pristine,1.05,,4000.0
1.64,PS,Pristine,1.05,2.03,725.0
2.65,PS,Aged,1.05,2.03,725.0
4.01,PE,Pristine,0.96,0.49,180.0
4.79,PA,Pristine,1.14,0.544,29.7
3.37,PE,Pristine,0.955,0.415,54.4
2.91,PE,Pristine,0.94,0.428,510.9
2.05,PP,Pristine,0.91,0.964,144.4
1.64,PE,Pristine,0.93,0.257,150.0
1.62,PE,Pristine,0.92,0.843,9.5
1.45,PS,Pristine,1.05,0.343,59.0
1.39,PC,Pristine,1.2,0.319,21.4
1.15,PVC,Pristine,1.4,1.03,80.0
1.2,PMMA,Pristine,1.18,0.164,350.0
0.9,PVC,Pristine,1.4,,75.0
2.9,PVC,Pristine,1.4,,75.0
0.95,PE,Pristine,0.95,7.158,75.0
2.95,PE,Pristine,0.95,7.158,75.0
1.23,PS,Pristine,1.05,,75.0
3.31,PS,Pristine,1.05,,75.0
2.13,PE,Pristine,0.95,,28.0
2.07,PE,Pristine,0.95,,48.0
1.8,PE,Pristine,0.95,,125.0
2.07,PE,Pristine,0.95,,250.0
2.01,PE,Pristine,0.95,,590.0
1.78,PS,Pristine,1.05,,74.0
1.89,PVC,Pristine,1.4,,74.0
1.31,PVC,Pristine,1.4,0.196,200.0
1.22,PVC,Pristine,1.4,0.196,200.0
0.96,PS,Pristine,1.05,0.165,200.0
